epoch,accuracy,loss,val_accuracy,val_loss
0,0.4804871380329132,1.1904711723327637,0.530259370803833,1.134521245956421
1,0.6529200077056885,0.8544958829879761,0.5417867302894592,1.05850088596344
2,0.7293108105659485,0.6853082776069641,0.5360230803489685,1.1737595796585083
3,0.7879878282546997,0.5501633882522583,0.5763688683509827,1.2255514860153198
4,0.8397453427314758,0.4351726472377777,0.5677233338356018,1.329774260520935
5,0.8599501848220825,0.3838719129562378,0.5360230803489685,1.4510821104049683
6,0.8881815671920776,0.3120628595352173,0.5677233338356018,1.4464882612228394
7,0.9197342991828918,0.24934810400009155,0.5734870433807373,1.6520707607269287
8,0.9294215440750122,0.21631388366222382,0.5821325778961182,1.5182836055755615
9,0.9332964420318604,0.19672071933746338,0.5504322648048401,1.9114842414855957
10,0.9396623373031616,0.1834295094013214,0.5677233338356018,1.8340387344360352
11,0.9504566788673401,0.1472346931695938,0.5706051588058472,1.96274995803833
12,0.9615278244018555,0.13346338272094727,0.5648415088653564,1.9867768287658691
13,0.9510102272033691,0.14287632703781128,0.5734870433807373,1.946049690246582
14,0.9604207277297974,0.11556980758905411,0.530259370803833,2.075417995452881
15,0.9667866230010986,0.09875033050775528,0.5821325778961182,2.120633363723755
16,0.9640188217163086,0.11442375928163528,0.559077799320221,2.096292734146118
17,0.9659562706947327,0.11069376021623611,0.5648415088653564,2.2937846183776855
18,0.971491813659668,0.10065892338752747,0.5878962278366089,2.3107402324676514
19,0.9654027223587036,0.10858528316020966,0.5619596838951111,2.408487319946289
20,0.9731525182723999,0.08282177895307541,0.5850144028663635,2.204951763153076
21,0.9684472680091858,0.0868300125002861,0.559077799320221,2.3764891624450684
22,0.9678937196731567,0.09318838268518448,0.5533141493797302,2.2984206676483154
23,0.9761970639228821,0.0711885318160057,0.5763688683509827,2.3852932453155518
24,0.9731525182723999,0.07069174945354462,0.5648415088653564,2.592458963394165
